scenario,attachment_kb,repeat,turn_index,project_type,status,latency_ms,cost_usd,cost_total_usd,tokens_in,tokens_out,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,last_resolved_tier,latency_pass,latency_score,cost_pass,cost_score,drift_pass,drift_score,drift_details,fact
growing,0,0,1,web_saas,200,2804,0.004418,0.004418,3238,236,98,0,2,0,0,default,True,1.0,True,1.0,True,1.0,remembered: project name: Nimbus @ metadata+window,project name: Nimbus
growing,0,0,2,web_saas,200,2490,0.004802,0.00922,3522,256,65,0,4,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window",feature: authentication
growing,0,0,3,web_saas,200,2968,0.005227,0.014447,3772,291,72,0,6,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window",feature: multi-tenant
growing,0,0,4,web_saas,200,9851,0.016662,0.031109,9957,1341,60,0,8,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window, feature: audit log @ window",feature: audit log
growing,0,0,5,web_saas,200,4777,0.007936,0.039045,4666,654,52,0,10,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window, feature: audit log @ window, feature: CSV export @ metadata+window",feature: CSV export
growing,0,1,1,web_saas,200,7811,0.007078,0.007078,3238,768,98,0,2,0,0,default,True,1.0,True,1.0,True,1.0,remembered: project name: Nimbus @ metadata+window,project name: Nimbus
growing,0,1,2,web_saas,200,5129,0.00763,0.014708,4010,724,65,0,4,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window",feature: authentication
growing,0,1,3,web_saas,200,4483,0.008472,0.02318,4732,748,72,0,6,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window",feature: multi-tenant
growing,0,1,4,web_saas,200,4783,0.009486,0.032666,5476,802,60,0,8,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window, feature: audit log @ window",feature: audit log
growing,0,1,5,web_saas,200,3992,0.010155,0.042821,6265,778,52,0,10,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window, feature: audit log @ window, feature: CSV export @ metadata+window",feature: CSV export
growing,0,2,1,web_saas,200,3194,0.004568,0.004568,3238,266,98,0,2,0,0,default,True,1.0,True,1.0,True,1.0,remembered: project name: Nimbus @ metadata+window,project name: Nimbus
growing,0,2,2,web_saas,200,4141,0.010445,0.015013,8070,475,65,0,4,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window",feature: authentication
growing,0,2,3,web_saas,200,4984,0.006351,0.021364,3741,522,72,0,6,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window",feature: multi-tenant
growing,0,2,4,web_saas,200,4626,0.007589,0.028953,4259,666,60,0,8,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window, feature: audit log @ window",feature: audit log
growing,0,2,5,web_saas,200,4457,0.008293,0.037246,4813,696,52,0,10,0,0,default,True,1.0,True,1.0,True,1.0,"remembered: project name: Nimbus @ metadata+window, feature: authentication @ metadata+window, feature: multi-tenant @ metadata+window, feature: audit log @ window, feature: CSV export @ metadata+window",feature: CSV export
growing,5,0,1,web_saas,200,7098,0.007332,0.007332,3812,704,2630,2472,2,0,0,default,True,1.0,True,1.0,True,1.0,remembered: project name: Nimbus @ metadata+window,project name: Nimbus
